lang1,lang2,wals_euclidean_dist,country_code_1,country_code_2
ara,ara,0,AE,AE
ara,ara,0,AE,DZ
ara,ara,0,AE,EG
ara,ara,0,AE,IQ
ara,ara,0,AE,JO
ara,ara,0,AE,KW
ara,ara,0,AE,QA
ara,ara,0,AE,SA
ara,ara,0,DZ,AE
ara,ara,0,DZ,DZ
ara,ara,0,DZ,EG
ara,ara,0,DZ,IQ
ara,ara,0,DZ,JO
ara,ara,0,DZ,KW
ara,ara,0,DZ,QA
ara,ara,0,DZ,SA
ara,ara,0,EG,AE
ara,ara,0,EG,DZ
ara,ara,0,EG,EG
ara,ara,0,EG,IQ
ara,ara,0,EG,JO
ara,ara,0,EG,KW
ara,ara,0,EG,QA
ara,ara,0,EG,SA
ara,ara,0,IQ,AE
ara,ara,0,IQ,DZ
ara,ara,0,IQ,EG
ara,ara,0,IQ,IQ
ara,ara,0,IQ,JO
ara,ara,0,IQ,KW
ara,ara,0,IQ,QA
ara,ara,0,IQ,SA
ara,ara,0,JO,AE
ara,ara,0,JO,DZ
ara,ara,0,JO,EG
ara,ara,0,JO,IQ
ara,ara,0,JO,JO
ara,ara,0,JO,KW
ara,ara,0,JO,QA
ara,ara,0,JO,SA
ara,ara,0,KW,AE
ara,ara,0,KW,DZ
ara,ara,0,KW,EG
ara,ara,0,KW,IQ
ara,ara,0,KW,JO
ara,ara,0,KW,KW
ara,ara,0,KW,QA
ara,ara,0,KW,SA
ara,ara,0,QA,AE
ara,ara,0,QA,DZ
ara,ara,0,QA,EG
ara,ara,0,QA,IQ
ara,ara,0,QA,JO
ara,ara,0,QA,KW
ara,ara,0,QA,QA
ara,ara,0,QA,SA
ara,ara,0,SA,AE
ara,ara,0,SA,DZ
ara,ara,0,SA,EG
ara,ara,0,SA,IQ
ara,ara,0,SA,JO
ara,ara,0,SA,KW
ara,ara,0,SA,QA
ara,ara,0,SA,SA
bel,ara,137.03880067877847,BY,AE
bel,ara,137.03880067877847,BY,DZ
bel,ara,137.03880067877847,BY,EG
bel,ara,137.03880067877847,BY,IQ
bel,ara,137.03880067877847,BY,JO
bel,ara,137.03880067877847,BY,KW
bel,ara,137.03880067877847,BY,QA
bel,ara,137.03880067877847,BY,SA
bul,ara,111.1026853728223,BG,AE
bul,ara,111.1026853728223,BG,DZ
bul,ara,111.1026853728223,BG,EG
bul,ara,111.1026853728223,BG,IQ
bul,ara,111.1026853728223,BG,JO
bul,ara,111.1026853728223,BG,KW
bul,ara,111.1026853728223,BG,QA
bul,ara,111.1026853728223,BG,SA
chi,ara,118.75036110108505,HK,AE
chi,ara,118.75036110108505,HK,DZ
chi,ara,118.75036110108505,HK,EG
chi,ara,118.75036110108505,HK,IQ
chi,ara,118.75036110108505,HK,JO
chi,ara,118.75036110108505,HK,KW
chi,ara,118.75036110108505,HK,QA
chi,ara,118.75036110108505,HK,SA
chi,ara,118.75036110108505,TW,AE
chi,ara,118.75036110108505,TW,DZ
chi,ara,118.75036110108505,TW,EG
chi,ara,118.75036110108505,TW,IQ
chi,ara,118.75036110108505,TW,JO
chi,ara,118.75036110108505,TW,KW
chi,ara,118.75036110108505,TW,QA
chi,ara,118.75036110108505,TW,SA
cmn,ara,132.99949658864816,SG,AE
cmn,ara,132.99949658864816,SG,DZ
cmn,ara,132.99949658864816,SG,EG
cmn,ara,132.99949658864816,SG,IQ
cmn,ara,132.99949658864816,SG,JO
cmn,ara,132.99949658864816,SG,KW
cmn,ara,132.99949658864816,SG,QA
cmn,ara,132.99949658864816,SG,SA
cze,ara,58.09366242246467,CZ,AE
cze,ara,58.09366242246467,CZ,DZ
cze,ara,58.09366242246467,CZ,EG
cze,ara,58.09366242246467,CZ,IQ
cze,ara,58.09366242246467,CZ,JO
cze,ara,58.09366242246467,CZ,KW
cze,ara,58.09366242246467,CZ,QA
cze,ara,58.09366242246467,CZ,SA
dan,ara,112.72716909786062,DK,AE
dan,ara,112.72716909786062,DK,DZ
dan,ara,112.72716909786062,DK,EG
dan,ara,112.72716909786062,DK,IQ
dan,ara,112.72716909786062,DK,JO
dan,ara,112.72716909786062,DK,KW
dan,ara,112.72716909786062,DK,QA
dan,ara,112.72716909786062,DK,SA
