country_code_1,country_code_2,capital_dist_meters,centroid_dist_meters
AE,AE,0,0
AR,AE,13543341.113769311,13988648.579099372
AT,AE,4242295.277939249,4426339.855336516
AU,AE,11969737.728913767,10289101.603344126
BA,AE,3907685.7446833616,3973971.014736233
BE,AE,5157902.4249826465,5195094.4902239265
BG,AE,3489838.9139966504,3393739.599944321
BH,AE,427133.5892216872,417408.4100291023
BR,AE,11955185.664576447,12391780.749805592
BY,AE,3960930.5466521042,3898115.4166045384
CA,AE,10761267.566445997,10295221.496059548
CH,AE,4826672.990976487,4796902.945216044
CL,AE,14650945.66503879,14592124.449635712
CO,AE,13587310.328277018,13412145.545087388
CZ,AE,4457305.333249762,4421819.068075835
DE,AE,4640041.489085573,4791610.490013263
DK,AE,4848086.42476029,5031289.100730512
DZ,AE,5041170.439977647,5085929.398170368
EE,AE,4521805.234757113,4472260.097471721
EG,AE,2365729.7230630433,2430679.8781104367
ES,AE,5630359.80462226,5652872.017756516
FI,AE,4573266.526740832,4899632.652641766
FR,AE,5245468.999277021,5220813.494747943
GB,AE,5476414.779248064,5805226.845214116
GR,AE,3259754.745886743,3440002.9454090977
HK,AE,6065344.242743545,NA
HR,AE,4164351.483645918,4183271.2343119364
HU,AE,4025725.3469245266,3953231.0989078823
ID,AE,6629638.396421966,7841918.740473493
IE,AE,5922252.630952119,6049346.046855939
IL,AE,2044103.498669492,2068022.2460306971
IN,AE,2317532.4726549713,2412375.4866763293
IQ,AE,1379451.758869979,1398765.8544706032
IT,AE,4300270.196432759,4303756.769362034
JO,AE,1987037.023308843,1937384.0585917328
JP,AE,8069197.890922843,7965910.8268026
KH,AE,5508669.069511114,5491623.514354789
KR,AE,6911682.104316207,7027404.7573735565
KW,AE,835439.6091625525,871926.8729197237
KZ,AE,3311441.337402901,2943478.3522937424
LT,AE,4128572.283576003,4316452.719395562
LV,AE,4353258.5914184945,4350155.448260507
MA,AE,5953204.427311056,5797578.297647652
MK,AE,3597069.4755166196,3556515.6479016445
MX,AE,14368437.16035365,14197539.842140136
MY,AE,5600475.056363487,6718769.539561987
NL,AE,5168900.2484332435,5135353.756724281
NO,AE,5171939.234461464,5356115.7043952625
NZ,AE,14280668.178570434,14216153.451379206
OM,AE,434822.0798369062,454628.91747398087
PE,AE,14748533.55675881,14522796.3081913
PH,AE,7010663.174587147,7219383.3072926495
PK,AE,2083758.7189143018,1719631.0836715791
PL,AE,4178055.982675767,4242746.795959818
PT,AE,6104294.599173849,5996511.518932555
QA,AE,302875.8971616537,324285.39183548145
RO,AE,3385211.8448399734,3567405.7829135787
RS,AE,3796045.198998528,3731637.927825259
RU,AE,3739447.0035389108,5339775.801564328
SA,AE,769588.941227283,918260.0640738026
SE,AE,4794199.981696478,5140404.926535422
SG,AE,5909974.3103465075,5920886.443979389
SI,AE,4280285.041485908,4251840.182054391
SK,AE,4188408.8709134106,4076199.0377076953
TH,AE,4973678.146690702,4908058.902405145
TR,AE,2645402.051688529,2458031.890196045
TW,AE,6705429.565790069,6741409.609894137
UA,AE,3542663.588127131,3382189.7923446284
US,AE,11354961.155842256,12382959.884360356
VN,AE,5267950.600359151,5663119.705313064
ZA,AE,6257990.169371998,6714619.945801978
AE,AR,13543341.113769311,13988648.579099372
AR,AR,0,0
AT,AR,11823671.28941631,11881878.71896573
AU,AR,11745574.66185456,13169201.001919484
BA,AR,11679488.546742676,12001227.125237998
BE,AR,11315529.352724986,11547547.337041954
BG,AR,11945916.18435851,12441528.929825982
BH,AR,13289713.751551889,13764792.064401042
BR,AR,2342366.071876506,2825158.770940817
BY,AR,12814936.2151584,13096265.774274334
CA,AR,9078544.406082712,10867916.099099535
CH,AR,11204519.110874435,11526838.457222167
CL,AR,1138403.729397799,796511.6007234154
CO,AR,4668982.660397561,4312837.5559044685
CZ,AR,11825062.252475409,12127195.237183845
DE,AR,11921389.434677396,11960189.473338474
DK,AR,12079919.593147565,12203034.106465332
DZ,AR,10175059.99538867,9868925.979420103
EE,AR,12916755.885971026,13207069.259923017
EG,AR,11827398.640584152,11998235.083611906
ES,AR,10055997.830182109,10286092.054284055
