lon,lat,countries
133.775136,-25.274398,Australia
-51.92528,-14.235004,Brazil
-106.346771,56.130366,Canada
15.472962,49.81749199999999,Czech Republic
25.748151,61.92410999999999,Finland
2.213749,46.227638,France
10.451526,51.165691,Germany
19.503304,47.162494,Hungary
12.56738,41.87194,Italy
127.766922,35.907757,"Korea, South"
5.291265999999999,52.132633,Netherlands
121.774017,12.879721,Philippines
19.145136,51.919438,Poland
105.318756,61.52401,Russia
45.079162,23.885942,Saudi Arabia
18.643501,60.12816100000001,Sweden
100.992541,15.870032,Thailand
-3.435973,55.378051,United Kingdom
-95.712891,37.09024,United States
78.96288,20.593684,India
113.921327,-0.789275,Indonesia
24.96676,45.943161,Romania
19.699024,48.669026,Slovakia
108.277199,14.058324,Vietnam
138.252924,36.204824,Japan
31.16558,48.379433,Ukraine
53.847818,23.424076,United Arab Emirates
120.960515,23.69781,"China, Republic of (Taiwan)"
35.243322,38.963745,Turkey
25.48583,42.733883,Bulgaria
15.2,45.1,Croatia
-7.692053599999999,53.1423672,Ireland
101.975766,4.210484,Malaysia
174.885971,-40.900557,New Zealand
21.005859,44.016521,Serbia
